Wells;SampleID;Zones;Porosity;Permeability_Kl;Rt_Sw100;FF;Temp;Rw;Salinity;Condition;Rock Pressure;Pore Pressure
1PO;26309-17;AC9;19.21710412;20.004;13.37496366;19.8439253;20;0.674007962;9.43;AC;;
1PO;26310-17;AC9;18.1410756;9.237;14.13340754;20.96919967;20;0.674007962;9.43;AC;;
1PO;26311-17;AC9;17.9320657;9.879;13.90499625;20.63031451;20;0.674007962;9.43;AC;;
1PO;26312-17;AC9;15.90340432;2.89;17.24825569;25.5905815;20;0.674007962;9.43;AC;;
1PO;26314-17;AC9;17.74849766;4.691;14.3454123;21.28374307;20;0.674007962;9.43;AC;;
1PO;26313-17;AC9;17.96895295;4.354;14.43413663;21.41537999;20;0.674007962;9.43;AC;;
1PO;26315-17;AC9;14.8960989;1.27;21.10722263;31.31598409;20;0.674007962;9.43;AC;;
1PO;26316-17;AC9;18.48512763;9.045;12.70142308;18.84461874;20;0.674007962;9.43;AC;;
1PO;26317-17;AC9;21.34286857;68.6;12.00672621;17.8139234;20;0.674007962;9.43;AC;;
1PO;26318-17;AC9;21.30410062;68.49;12.37923366;18.36659854;20;0.674007962;9.43;AC;;
1PO;26319-17;AC9;19.03868553;10.765;12.81713022;19.01628902;20;0.674007962;9.43;AC;;
1PO;26321-17;AC9;18.47740489;9.653;14.06147004;20.86246874;20;0.674007962;9.43;AC;;
1PO;26322-17;AC9;18.48521074;9.055;14.42041923;21.395028;20;0.674007962;9.43;AC;;
1PO;26323-17;AC9;20.09431343;75.417;13.15077206;19.51130075;20;0.674007962;9.43;AC;;
1PO;26327-17;AC9;9.449914431;1.147;48.68916917;72.23827;20;0.674007962;9.43;AC;;
1PO;26328-17;AC9;11.65277566;7.167;35.60125682;52.82023181;20;0.674007962;9.43;AC;;
1PO;26329-17;AC9;11.89173305;8.044;33.79084909;50.13419867;20;0.674007962;9.43;AC;;
1PO;26330-17;AC9;11.74088348;3.932;34.79545157;51.6246892;20;0.674007962;9.43;AC;;
1PO;26331-17;AC9;11.44773705;3.473;34.92359741;51.81481431;20;0.674007962;9.43;AC;;
1PO;26332-17;AC9;19.48359588;74.983;13.94311501;20.68686988;20;0.674007962;9.43;AC;;
1PO;26333-17;AC9;19.16232776;73.813;13.57083944;20.13453875;20;0.674007962;9.43;AC;;
1PO;26334-17;AC9;19.87179487;101.166;13.08248259;19.40998226;20;0.674007962;9.43;AC;;
1PO;26335-17;AC9;20.11000658;105.534;12.51026622;18.56100657;20;0.674007962;9.43;AC;;
1PO;26336-17;AC9;21.78152125;197.591;11.08496153;16.44633617;20;0.674007962;9.43;AC;;
1PO;26337-17;AC9;17.03160245;1.387;17.35177683;25.74417188;20;0.674007962;9.43;AC;;
1PO;26338-17;AC9;17.80754853;2.741;15.458773;22.93559403;20;0.674007962;9.43;AC;;
1PO;26340-17;AC9;18.03985341;4.01;15.05607953;22.33813304;20;0.674007962;9.43;AC;;
1PO;26339-17;AC9;17.49817318;3.228;15.74802783;23.36475043;20;0.674007962;9.43;AC;;
1PO;26341-17;AC9;21.76600104;53.57;11.28466283;16.7426254;20;0.674007962;9.43;AC;;
1PO;26342-17;AC9;21.84013229;50.968;11.51650105;17.08659495;20;0.674007962;9.43;AC;;
1PO;26347-17;AC9;14.26096357;0.197;23.67092616;35.11965359;20;0.674007962;9.43;AC;;
1PO;26350-17;AC9;18.23830494;1.748;15.73321141;23.34276788;20;0.674007962;9.43;AC;;
1PO;26353-17;AC9;20.54847536;41.389;13.09930925;19.43494733;20;0.674007962;9.43;AC;;
1PO;26354-17;AC9;16.72394253;0.248;15.48068862;22.9681094;20;0.674007962;9.43;AC;;
1PO;26355-17;AC9;17.09294523;0.467;15.36932401;22.80288196;20;0.674007962;9.43;AC;;
1PO;26356-17;AC9;20.80793203;50.075;12.36475498;18.34511707;20;0.674007962;9.43;AC;;
1PO;26357-17;AC9;20.71573255;45.506;13.52140326;20.06119217;20;0.674007962;9.43;AC;;
1PO;26359-17;AC9;21.65521296;126.732;12.13702521;18.00724306;20;0.674007962;9.43;AC;;
1PO;26358-17;AC9;21.84114613;123.538;11.63330791;17.25989685;20;0.674007962;9.43;AC;;
1PO;26361-17;AC9;20.81362346;110.413;11.84920866;17.5802206;20;0.674007962;9.43;AC;;
1PO;26360-17;AC9;20.7938559;118.68;11.32830928;16.80738198;20;0.674007962;9.43;AC;;
1PO;26362-17;AC9;20.99036178;113.208;11.92445268;17.69185729;20;0.674007962;9.43;AC;;
1PO;26364-17;AC9;21.62978187;144.111;11.57594026;17.17478266;20;0.674007962;9.43;AC;;
1PO;26363-17;AC9;21.88116164;155.538;11.39744668;16.90995851;20;0.674007962;9.43;AC;;
1PO;26365-17;AC9;21.50185839;139.984;11.27766437;16.73224204;20;0.674007962;9.43;AC;;
1PO;26366-17;AC9;21.64343126;148.37;11.93751514;17.71123757;20;0.674007962;9.43;AC;;
1PO;26367-17;AC9;16.76745867;1.578;17.8508507;26.48462881;20;0.674007962;9.43;AC;;
1PO;26368-17;AC9;20.35627965;53.774;12.79960977;18.99029461;20;0.674007962;9.43;AC;;
1PO;26369-17;AC9;19.96879804;39.961;14.36506395;21.31289948;20;0.674007962;9.43;AC;;
1PO;26370-17;AC9;20.31314399;42.46;13.909704;20.63729922;20;0.674007962;9.43;AC;;
1PO;26371-17;AC9;13.9822442;0.487;20.43636211;30.32065384;20;0.674007962;9.43;AC;;
1PO;26372-17;AC9;21.26317215;156.556;12.58290025;18.66877093;20;0.674007962;9.43;AC;;
1PO;26373-17;AC9;18.62043165;47.024;13.45847824;19.96783271;20;0.674007962;9.43;AC;;
1PO;26374-17;AC9;14.00748298;2.789;22.22918996;32.98060439;20;0.674007962;9.43;AC;;
1PO;26375-17;AC9;12.2957308;0.704;30.17012069;44.76226154;20;0.674007962;9.43;AC;;
1PO;26376-17;AC9;22.63801004;181.015;11.03135931;16.36680859;20;0.674007962;9.43;AC;;
1PO;26383-17;AC9;17.23460252;3.757;15.25105986;22.62741794;20;0.674007962;9.43;AC;;
1PO;26384-17;AC9;16.30939533;0.786;17.43838669;25.87267164;20;0.674007962;9.43;AC;;
1PO;26385-17;AC9;16.38672852;0.767;16.02310899;23.77287789;20;0.674007962;9.43;AC;;
1PO;26386-17;AC9;17.35755567;1.522;16.72253585;24.81059094;20;0.674007962;9.43;AC;;
1PO;26387-17;AC9;16.60704204;1.119;15.50012599;22.99694789;20;0.674007962;9.43;AC;;
1PO;26389-17;AC9;22.03408866;128.486;10.960846;16.26219068;20;0.674007962;9.43;AC;;
1PO;26388-17;AC9;22.71033196;131.821;11.42325844;16.94825444;20;0.674007962;9.43;AC;;
1PO;26390-17;AC9;16.17793869;0.869;16.42567267;24.37014632;20;0.674007962;9.43;AC;;
1PO;26391-17;AC9;17.81801354;5.705;14.64608408;21.72983836;20;0.674007962;9.43;AC;;
1PO;26392-17;AC9;12.44324229;0.215;29.97767271;44.47673379;20;0.674007962;9.43;AC;;
1PO;26395-17;AC9;22.86216091;160.115;10.73821133;15.93187608;20;0.674007962;9.43;AC;;
1PO;26396-17;AC9;22.13330541;97.547;10.38234186;15.40388607;20;0.674007962;9.43;AC;;
1PO;26397-17;AC9;18.80005551;2.738;15.3954872;22.8416993;20;0.674007962;9.43;AC;;
1PO;26398-17;AC9;17.44857662;1.865;16.21710493;24.0607023;20;0.674007962;9.43;AC;;
1PO;26399-17;AC9;17.79069982;8.929;13.72001778;20.35586899;20;0.674007962;9.43;AC;;
1PO;26400-17;AC9;18.29312384;6.886;15.86142215;23.53298928;20;0.674007962;9.43;AC;;
1PO;26401-17;AC9;16.67192737;1.167;15.49025838;22.9823077;20;0.674007962;9.43;AC;;
1PO;26402-17;AC9;12.89396829;0.163;24.0641321;35.7030383;20;0.674007962;9.43;AC;;
1PO;26403-17;AC9;20.22221306;66.255;13.89687532;20.61826579;20;0.674007962;9.43;AC;;
1PO;26404-17;AC9;20.52592569;63.618;13.64276102;20.24124608;20;0.674007962;9.43;AC;;
1PO;26405-17;AC9;19.70311131;61.665;13.5798774;20.14794804;20;0.674007962;9.43;AC;;
1PO;26406-17;AC9;19.8141683;39.705;13.59845884;20.17551661;20;0.674007962;9.43;AC;;
1PO;26408-17;AC9;19.18695473;27.431;14.36025211;21.30576033;20;0.674007962;9.43;AC;;
1PO;26407-17;AC9;19.67281104;45.417;13.84469112;20.54084208;20;0.674007962;9.43;AC;;
1PO;26409-17;AC9;17.25421974;0.756;17.3820145;25.78903435;20;0.674007962;9.43;AC;;
1PO;26410-17;AC9;19.15312787;9.873;15.64237668;23.20799984;20;0.674007962;9.43;AC;;
1PO;26411-17;AC9;20.03650182;9.893;13.37151957;19.83881544;20;0.674007962;9.43;AC;;
1PO;26414-17;AC9;22.07187129;141.423;11.59918483;17.20926973;20;0.674007962;9.43;AC;;
1PO;26415-17;AC9;22.30466667;160.501;11.48062603;17.03336856;20;0.674007962;9.43;AC;;
1PO;26416-17;AC9;22.20363202;148.319;11.68307773;17.33373845;20;0.674007962;9.43;AC;;
1PO;26418-17;AC9;21.92669828;126.783;11.78664515;17.48739749;20;0.674007962;9.43;AC;;
1PO;26417-17;AC9;21.94927615;127.386;11.5732593;17.17080502;20;0.674007962;9.43;AC;;
1PO;26420-17;AC9;22.04567097;166.971;11.83125953;17.55359015;20;0.674007962;9.43;AC;;
