Well;Depth_Original;Depth;Formation;SampleID;Permeability_Kl;Permeability Kl;Porosity;CP;SW
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.065478124;56.42892374
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.156579636;37.58705731
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.37528423;31.37614679
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.896340021;27.66696261
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;2.147868812;24.50626418
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;4.209822871;21.72043011
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;8.117088351;19.32129821
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;19.98054962;17.22994969
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;0.026942866;97.73074358
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;0.065478124;91.67365727
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;0.156579636;66.39994838
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;0.37528423;51.58417758
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;0.896340021;43.02455314
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;2.147868812;37.78169968
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;4.209822871;33.22617281
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;8.117088351;29.99231034
1PO;2292.9;2296;AC9;26447-17;72.766;70.566;22.00115408;19.98054962;26.20369534
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;0.026942866;97.20084374
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;0.065478124;96.73336754
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;0.156579636;96.0435551
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;0.37528423;95.21406989
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;0.896340021;93.24491192
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;2.147868812;86.69739468
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;4.209822871;78.42198278
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;8.117088351;72.05974574
1PO;2293.81;2296.91;AC9;26450-17;0.408;0.315;15.94364497;19.98054962;66.86049826
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;0.026942866;96.97069872
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;0.065478124;96.6701728
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;0.156579636;96.20435763
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;0.37528423;95.64838467
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;0.896340021;94.71675432
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;2.147868812;90.97069872
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;4.209822871;84.98948159
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;8.117088351;79.71450038
1PO;2294.3;2297.4;AC9;26452-17;0.245;0.183;15.11273001;19.98054962;74.90082645
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;0.026942866;97.54854801
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;0.065478124;96.71833244
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;0.156579636;95.49260645
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;0.37528423;94.49925174
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;0.896340021;92.78692321
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;2.147868812;87.19508284
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;4.209822871;76.79066453
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;8.117088351;70.97897737
1PO;2347.23;2348.33;AC10;29676-17;0.204;0.133;12.43870036;19.98054962;66.07589524
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;0.026942866;97.55103738
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;0.065478124;96.32447715
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;0.156579636;94.98149765
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;0.37528423;93.23105068
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;0.896340021;90.99829529
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;2.147868812;82.66379776
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;4.209822871;73.65598104
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;8.117088351;64.69585464
1PO;2351.87;2352.97;AC10;29681-17;0.398;0.288;13.05233737;19.98054962;56.92071016
