Fields;Wells;Direction;SampleID;Depth;Zones;Lith Description;Bulk Density Water;Grain Desnsity Water;Bulk Density Kerosin;Grain Desnsity Kerosin;Bulk Density Helium;Grain Desnsity Helium;Bulk Density;Bulk Density Sat;Grain Desnsity;Water Porosity;Kerosin Porosity;Helium Porosity;Porosity;Gas Permeability;Permeability_Kl;Swirr(waterholding capacity);Swirr;Comments;SW;SO
Zapadno-Zimnee;1PO;кус;26248-17;2250.92;AC8;Аргиллит алевритистый, с тонкими слойками алевролита крупнозернистого.;;;;;;;2.42376;2.532704985;2.704356;;10.3757;;10.3757;;;;;;;
Zapadno-Zimnee;1PO;кус;26249-17;2251.62;AC8;Аргиллит алевритистый, с линзочками алевролита крупнозернистого, биотурбированный.;;;;;;;2.423745;2.530210911;2.697232;;10.1395;;10.1395;;;;;;;
Zapadno-Zimnee;1PO;пар;26250-17;2261.27;AC8;Песчаник мелко-тонкозернистый, глинисто-алевритовый, известковый, с вкраплениями пирита.;;;;;;;2.518369;2.582719077;2.682786;;6.1286;5.16;6.1286;0.055;0.034;;;;82.8;
Zapadno-Zimnee;1PO;пар;26251-17;2261.8;AC9;Песчаник мелко-тонкозернистый глинисто-алевритистый, известковый, с вкраплениями пирита.;;;;;;;2.502938;2.573233749;2.68253;;6.6949;6.54;6.6949;0.078;0.051;;;;80.9;
Zapadno-Zimnee;1PO;пар;26252-17;2264.48;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковый, с единичным интракластом аргиллита.;;;;;;;2.377700627;2.499480734;2.689648947;11.59810539;;10.96;11.59810539;3.425;3.056;;43.97341268;;;
Zapadno-Zimnee;1PO;пар;26253-17;2264.48;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковистый, с единичным интракластом аргиллита.;;;;;;;2.328225405;2.467811059;2.685191295;13.29387187;;12.58;13.29387187;7.249;6.669;;33.14837234;;;
Zapadno-Zimnee;1PO;пар;26254-17;2264.63;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковый, со стяжениями пирита.;;;;;;;2.471801573;2.557737416;2.692135823;8.184366045;;7.45;8.184366045;0.462;0.372;;;;58.2;
Zapadno-Zimnee;1PO;пар;26255-17;2264.81;AC9;Песчаник пятнисто нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковый, со слабо выраженными слойками углистого материала, с зернами сидерита.;;;;;;;2.498185;2.569276558;2.679611;;6.7706;6.35;6.7706;0.096;0.065;;;;;
Zapadno-Zimnee;1PO;пар;26256-17;2264.94;AC9;Песчаник тонко-мелкозернистый, алевритистый, известковый, с зернами сидерита.;;;;;;;2.540949;2.596994026;2.684224;;5.3377;4.92;5.3377;0.059;0.038;;;;;
Zapadno-Zimnee;1PO;пар;26257-17;2265.15;AC9;Песчаник пятнисто нефтенасыщенный, тонко-мелкозернистый, глинисто-алевритистый, известковистый, со слабо выраженными слойками углистого материала.;;;;;;;2.38119313;2.499009739;2.682146894;11.22062945;;10.48;11.22062945;2.127;1.85;;;;;
Zapadno-Zimnee;1PO;пар;26258-17;2265.33;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, глинисто-алевритистый, слойками известковый, со слойками углисто-глинистого и сидеритизированного глинистого материала.;;;;;;;2.258415349;2.420608609;2.671004858;15.4469771;;14.84;15.4469771;7.618;7.014;;31.85222462;;37.7;
Zapadno-Zimnee;1PO;пар;26260-17;2265.47;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.160999323;2.359336587;2.664258035;18.88926318;;18.41;18.88926318;34.5;33.07;;;;;
Zapadno-Zimnee;1PO;пар;26259-17;2265.47;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.138358678;2.343189841;2.656601276;19.50772977;;18.62;19.50772977;49.108;47.366;;;;;
Zapadno-Zimnee;1PO;пар;26261-17;2265.61;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, глинисто-алевритистый.;;;;;;;2.094905297;2.317765956;2.659347044;21.22482465;;20.39;21.22482465;92.057;89.536;;;;;
Zapadno-Zimnee;1PO;пар;26262-17;2265.61;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритистый.;;;;;;;2.339803163;2.473965392;2.682563876;12.77735513;;12.15;12.77735513;0.17;0.122;;75.05456367;;;
Zapadno-Zimnee;1PO;пар;26264-17;2265.9;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с углистыми растительными остатками.;;;;;;;2.179104053;2.369558669;2.661941183;18.13853486;;17.7;18.13853486;12.454;11.664;;;;;
Zapadno-Zimnee;1PO;пар;26263-17;2265.9;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с углистыми растительными остатками.;;;;;;;2.167735064;2.362706626;2.66204224;18.56872021;;18.15;18.56872021;12.203;11.419;;;;;
Zapadno-Zimnee;1PO;пар;26265-17;2266.14;AC9;Песчаник тонкозернистый, алевритистый, слойками глинисто-алевритовый, со слабо выраженными слойками углистого материала.;;;;;;;2.405846;2.513349255;2.680262;;10.2384;10.14;10.2384;0.086;0.058;;;;;
Zapadno-Zimnee;1PO;пар;26266-17;2266.26;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, с интракластами аргиллита.;;;;;;;2.162626996;2.362093621;2.669805105;18.99682145;;18.74;18.99682145;93.858;91.28;;;;47.9;
Zapadno-Zimnee;1PO;пар;26267-17;2266.38;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый.;;;;;;;2.092088762;2.31533909;2.65702337;21.26193598;;20.36;21.26193598;143.585;140.36;;;;;
Zapadno-Zimnee;1PO;пар;26268-17;2266.38;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый.;;;;;;;2.09065105;2.313614594;2.654276708;21.23462323;;21.21;21.23462323;135.974;132.875;;18.35063638;;;
Zapadno-Zimnee;1PO;пар;26269-17;2266.54;AC9;Алевролит крупнозернистый, глинисто-песчаный, со стяжениями пирита.;;;;;;;2.389329;2.50321183;2.68;;10.8459;10.42;10.8459;0.05;0.031;;;;;
Zapadno-Zimnee;1PO;пар;26270-17;2266.74;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.078892161;2.310096387;2.66591113;22.01945001;;21.39;22.01945001;77.296;75.003;;24.91582492;;;
Zapadno-Zimnee;1PO;пар;26271-17;2266.74;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.075870337;2.308831063;2.667758972;22.1867358;;21.31;22.1867358;77.755;75.455;33.71670949;24.47285778;;;
Zapadno-Zimnee;1PO;пар;26272-17;2266.82;AC9;Алевролит крупнозернистый, глинисто-песчаный, с зернами сидерита.;;;;;;;2.364854;2.488030883;2.679146;;11.731;11.02;11.731;0.052;0.032;;;;;
Zapadno-Zimnee;1PO;пар;26273-17;2266.86;AC9;Алевролит крупнозернистый, глинисто-песчаный.;;;;;;;2.376848;2.494036928;2.675452;;11.1609;10.21;11.1609;0.058;0.035;;;;89.4;
Zapadno-Zimnee;1PO;пар;26274-17;2267.25;AC9;Алевролит сильно глинистый, со слойками алевролита крупнозернистого, с зернами сидерита.;;;;;;;2.420397;2.522685284;2.681636;;9.7418;9.51;9.7418;0.022;0.012;;;;;
Zapadno-Zimnee;1PO;пар;26276-17;2267.44;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.069988961;2.304130932;2.664052238;22.29923529;;22.24;22.29923529;91.661;89.175;;;;;
Zapadno-Zimnee;1PO;пар;26275-17;2267.44;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с прерывистыми слойками углистого материала.;;;;;;;2.065904728;2.301994783;2.665159673;22.48476709;;21.52;22.48476709;97.677;95.072;;;;;
Zapadno-Zimnee;1PO;пар;26277-17;2267.49;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.090453029;2.320350859;2.67646613;21.89503143;;21.06;21.89503143;75.193;72.948;;23.12814186;;;
Zapadno-Zimnee;1PO;пар;26278-17;2267.49;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.086812843;2.318359332;2.677187471;22.05204656;;21.86;22.05204656;72.595;70.408;;24.30991869;;;
Zapadno-Zimnee;1PO;пар;26279-17;2267.72;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.136652718;2.34751979;2.673575639;20.08257828;;19.76;20.08257828;20.083;19.048;;33.24311523;;;
Zapadno-Zimnee;1PO;пар;26280-17;2267.72;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритистый, с тонкими слойками углистого материала.;;;;;;;2.135146625;2.347001027;2.674838313;20.17660978;;19.8;20.17660978;20.232;19.185;41.18885147;31.8459766;;;
Zapadno-Zimnee;1PO;пар;26281-17;2267.83;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритистый, с тонкими слойками углистого материала.;;;;;;;2.151186836;2.357660776;2.677743206;19.66418471;;19.56;19.66418471;16.659;15.701;;;;35.1;
Zapadno-Zimnee;1PO;пар;26283-17;2267.97;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритистый, с тонкими слойками углистого материала, с частично открытой трещиной.;;;;;;;2.109817;2.325393977;2.654899;;20.5312;19.59;20.5312;85.707;83.319;;;трещина;;
Zapadno-Zimnee;1PO;пар;26282-17;2267.97;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритистый, с тонкими слойками углистого материала, с частично открытой трещиной.;;;;;;;2.113023;2.327514961;2.655479;;20.4278;20.01;20.4278;94.784;92.252;;;трещина;;
Zapadno-Zimnee;1PO;пар;26284-17;2268.07;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритовый, известковистый, с тонкими слойками углистого материала.;;;;;;;2.186109225;2.378186373;2.675549066;18.29306168;;18.14;18.29306168;18.402;17.413;;;;;
Zapadno-Zimnee;1PO;пар;26285-17;2268.07;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритовый, известковистый, с тонкими слойками углистого материала.;;;;;;;2.183007612;2.375859161;2.674166872;18.36681416;;17.42;18.36681416;18.885;17.877;;;;;
Zapadno-Zimnee;1PO;пар;26286-17;2268.12;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритовый, известковый, с тонкими слойками углистого материала.;;;;;;;2.333258818;2.470970381;2.685468388;13.11538695;;12.41;13.11538695;1.439;1.224;;;;;
Zapadno-Zimnee;1PO;пар;26287-17;2268.12;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритовый, известковый, с тонкими слойками углистого материала.;;;;;;;2.351472144;2.48318565;2.688753204;12.54414349;;11.72;12.54414349;0.802;0.678;;;;;
Zapadno-Zimnee;1PO;пар;26288-17;2268.22;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый,  с прерывистыми слойками углистого материала.;;;;;;;2.104344037;2.326528692;2.669147476;21.16044332;;20.45;21.16044332;62.784;60.756;;;;53.3;
Zapadno-Zimnee;1PO;пар;26290-17;2268.28;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый,  с прерывистыми слойками углистого материала.;;;;;;;2.091139164;2.317666723;2.666386891;21.57405322;;21.18;21.57405322;67.108;65.041;;;;;
Zapadno-Zimnee;1PO;пар;26289-17;2268.28;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый,  с прерывистыми слойками углистого материала.;;;;;;;2.098557784;2.322881715;2.668704782;21.36418392;;21.32;21.36418392;64.902;62.851;;;;;
Zapadno-Zimnee;1PO;пар;26291-17;2268.33;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.100665977;2.323673442;2.667133236;21.23880617;;21.21;21.23880617;65.458;63.374;;;;;
Zapadno-Zimnee;1PO;пар;26292-17;2268.33;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.088490149;2.315580139;2.66482924;21.62761811;;21.13;21.62761811;65.517;63.442;;;;;
Zapadno-Zimnee;1PO;пар;26294-17;2268.43;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.112186971;2.332503622;2.673063551;20.98253815;;20.8;20.98253815;52.99;51.184;;;;;
Zapadno-Zimnee;1PO;пар;26293-17;2268.43;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.10542501;2.327975298;2.671698627;21.19526548;;20.55;21.19526548;53.461;51.613;;;;;
Zapadno-Zimnee;1PO;пар;26295-17;2268.63;AC9;Алевролит сильно глинистый, с тонкими слойками алевролита крупнозернистого.;;;;;;;2.452885;2.546408395;2.692726;;8.907;8.12;8.907;0.017;0.01;;;;;
